treatment,pop,dose,alive,dead,incapacitated
omethoate,control,0,7,0,0
omethoate,control,0,9,0,0
omethoate,control,0,8,0,0
omethoate,control,0,8,0,0
omethoate,control,0,10,0,0
omethoate,control,0,9,0,0
omethoate,control,0.007,7,0,0
omethoate,control,0.007,9,0,0
omethoate,control,0.007,7,0,0
omethoate,control,0.007,8,0,0
omethoate,control,0.007,11,0,0
omethoate,control,0.007,10,0,0
omethoate,control,0.07,9,0,0
omethoate,control,0.07,8,0,0
omethoate,control,0.07,8,0,0
omethoate,control,0.07,8,0,0
omethoate,control,0.07,9,0,0
omethoate,control,0.07,7,0,0
omethoate,control,0.7,8,0,0
omethoate,control,0.7,9,1,0
omethoate,control,0.7,9,1,0
omethoate,control,0.7,7,1,0
omethoate,control,0.7,10,0,0
omethoate,control,0.7,10,0,0
omethoate,control,7,7,1,0
omethoate,control,7,6,2,0
omethoate,control,7,7,1,0
omethoate,control,7,9,0,0
omethoate,control,7,7,0,1
omethoate,control,7,0,7,1
omethoate,control,70,0,8,0
omethoate,control,70,0,9,0
omethoate,control,70,0,10,0
omethoate,control,70,0,8,0
omethoate,control,70,0,8,0
omethoate,control,70,0,8,0
omethoate,control,700,0,8,0
omethoate,control,700,0,8,0
omethoate,control,700,0,8,0
omethoate,control,700,0,8,0
omethoate,control,700,0,8,0
omethoate,control,700,0,8,0
omethoate,control,7000,0,9,0
omethoate,control,7000,0,8,0
omethoate,control,7000,0,7,0
omethoate,control,7000,0,8,0
omethoate,control,7000,0,9,0
omethoate,control,7000,0,10,0
omethoate,resistant,0,8,0,0
omethoate,resistant,0,8,0,0
omethoate,resistant,0,8,0,0
omethoate,resistant,0,8,0,0
omethoate,resistant,0,8,0,0
omethoate,resistant,0,8,0,0
omethoate,resistant,0.007,8,0,0
omethoate,resistant,0.007,8,0,0
omethoate,resistant,0.007,8,0,0
omethoate,resistant,0.007,9,0,0
omethoate,resistant,0.007,8,0,0
omethoate,resistant,0.007,8,0,0
omethoate,resistant,0.07,8,0,0
omethoate,resistant,0.07,7,0,0
omethoate,resistant,0.07,8,0,0
omethoate,resistant,0.07,8,0,0
omethoate,resistant,0.07,8,0,0
omethoate,resistant,0.07,8,0,0
omethoate,resistant,0.7,8,0,0
omethoate,resistant,0.7,10,0,0
omethoate,resistant,0.7,8,0,0
omethoate,resistant,0.7,7,0,0
omethoate,resistant,0.7,8,0,0
omethoate,resistant,0.7,9,0,0
omethoate,resistant,7,9,0,0
omethoate,resistant,7,9,0,0
omethoate,resistant,7,8,0,0
omethoate,resistant,7,8,0,0
omethoate,resistant,7,8,0,0
omethoate,resistant,7,9,0,0
omethoate,resistant,70,0,7,0
omethoate,resistant,70,1,7,0
omethoate,resistant,70,4,3,0
omethoate,resistant,70,0,8,2
omethoate,resistant,70,3,2,2
omethoate,resistant,70,1,4,2
omethoate,resistant,700,0,6,2
omethoate,resistant,700,1,7,2
omethoate,resistant,700,0,6,2
omethoate,resistant,700,0,6,1
omethoate,resistant,700,3,3,2
omethoate,resistant,700,0,6,2
omethoate,resistant,7000,0,5,2
omethoate,resistant,7000,0,6,2
omethoate,resistant,7000,0,6,2
omethoate,resistant,7000,0,9,1
omethoate,resistant,7000,0,8,2
omethoate,resistant,7000,0,8,1
