lat,lon,trap_type
-37.66681,145.165039,Field collection
-37.66681,145.165039,Field collection
-37.66681,145.165039,Field collection
-37.66681,145.165039,Field collection
-37.66681,145.165039,Field collection
-37.66681,145.165039,Field collection
-37.66681,145.165039,Field collection
-37.66681,145.165039,Field collection
-37.66681,145.165039,Field collection
-37.66681,145.165039,Field collection
-37.66681,145.165039,"1 GPA (MACE), 1 RLEM (kdr), 1 LM (Liriomyza brassicae)"
-37.66681,145.165039,"1 GPA (MACE), 1 RLEM (kdr), 1 LM (Liriomyza brassicae)"
-37.66681,145.165039,"1 GPA (MACE), 1 RLEM (kdr), 1 LM (Liriomyza brassicae)"
-37.66681,145.165039,"1 GPA (MACE), 1 RLEM (kdr), 1 LM (Liriomyza brassicae)"
-37.66681,145.165039,"1 GPA (MACE), 1 RLEM (kdr), 1 LM (Liriomyza brassicae)"
-37.66681,145.165039,"5 GPA (MACE), 4 RLEM (kdr)"
-37.66681,145.165039,"5 GPA (MACE), 4 RLEM (kdr)"
-37.66681,145.165039,"5 GPA (MACE), 4 RLEM (kdr)"
-37.66681,145.165039,"5 GPA (MACE), 4 RLEM (kdr)"
-37.66681,145.165039,"5 GPA (MACE), 4 RLEM (kdr)"
-37.66681,145.165039,"5 GPA (MACE), 3 RLEM (kdr)"
-37.66681,145.165039,"5 GPA (MACE), 3 RLEM (kdr)"
-37.66681,145.165039,"5 GPA (MACE), 3 RLEM (kdr)"
-37.66681,145.165039,"5 GPA (MACE), 3 RLEM (kdr)"
-37.66681,145.165039,"5 GPA (MACE), 3 RLEM (kdr)"
-37.66681,145.165039,"1 GPA (MACE), 1 RLEM (kdr), 1 LM (Liriomyza brassicae), 1Aedes aegypti"
-37.66681,145.165039,"1 GPA (MACE), 1 RLEM (kdr), 1 LM (Liriomyza brassicae), 1Aedes aegypti"
-37.66681,145.165039,"1 GPA (MACE), 1 RLEM (kdr), 1 LM (Liriomyza brassicae)"
-37.66681,145.165039,"5 GPA (MACE), 4 RLEM (kdr)"
-34.6283696,138.5932907,Field collection
-34.6405647,138.5484006,Field collection
-34.2847389,138.4537763,Field collection
-34.245607,138.638799,Field collection
-34.839549,138.483913,Field collection
-34.968672,138.521981,Field collection
,,Field collection
-37.742392,144.999545,Field collection
-37.742392,144.999545,1 GPA
-37.742392,144.999545,Field collection
-37.742392,144.999545,1 GPA
-37.7421,144.9715361,Field collection
-37.7421,144.9715361,1 GPA
-37.7421,144.9715361,Field collection
-37.7421,144.9715361,1 GPA
-36.2989,146.0952222,Field collection
-36.2989,146.0952222,1 GPA
-36.2989,146.0952222,Field collection
-36.2989,146.0952222,1 GPA
-36.292,146.0978889,Field collection
-36.292,146.0978889,1 GPA
-36.292,146.0978889,Field collection
-36.292,146.0978889,1 GPA
-36.4867,144.550139,Field collection
-36.4867,144.550139,1 GPA
-36.4867,144.550139,Field collection
-36.4867,144.550139,1 GPA
-36.4867,144.550139,Field collection
-36.4867,144.550139,1 GPA
-36.4828,144.5528333,Field collection
-36.4828,144.5528333,1 GPA
-37.8525,143.3676,Field collection
-37.8525,143.3676,1 GPA
-37.8525,143.3676,Field collection
-37.8525,143.3676,1 GPA
-37.7765,144.969701,Field collection
-37.7765,144.969701,1 GPA
-37.7765,144.969701,Field collection
-37.7765,144.969701,1 GPA
,,Field collection
-36.5619,140.435141,Field collection
-36.9502,140.8460905,Field collection
-38.1654,144.0032,Field collection
-38.1654,144.0032,1 GPA
-38.1654,144.0032,Field collection
-38.1654,144.0032,1 GPA
-37.91,143.17187,Field collection
-37.91,143.17187,1 GPA
-37.91,143.17187,Field collection
-37.91,143.17187,1 GPA
-33.9067,151.17506,Field collection
-34.4487,135.511901,Field collection
-34.0773,135.558195,Field collection
-34.0837,135.658659,Field collection
-34.0477,135.445158,Field collection
-34.0121,135.558851,Field collection
-34.218,135.665336,Field collection
-33.9741,151.247455,Field collection
-35.34,147.04,Field collection
-31.15,150.9763889,Field collection
-38.0349,145.921194,Field collection
-38.0349,145.921194,1 GPA
-38.0349,145.921194,Field collection
-38.0349,145.921194,1 GPA
-34.0272,150.6841667,Field collection
-33.9822,150.6361111,Field collection
-33.9797,150.5655556,Field collection
-33.5989,150.7108333,Field collection
-33.6069,150.9911111,Field collection
-35.0794,147.2275,Field collection
-35.5131,145.3843,Field collection
-35.3929,145.2036,Field collection
-35.4506,145.2169,Field collection
-35.4898,145.1033,Field collection
-36.3167,145.9389,Field collection
-36.3246,145.745,Field collection
-36.437,145.871,Field collection
-36.4,141.3,Field collection
-36.4,141,Field collection
,,Field collection
,,Field collection
,,Field collection
,,Field collection
-36.492,144.600304,Field collection
-37.8337,144.926388,Field collection
-34.7992,137.5588889,Field collection
-34.5697,137.8416667,Field collection
-33.2211,148.1997222,Field collection
-27.5267,153.2491667,Field collection
-27.5258,153.2511111,Field collection
-33.636,136.3644,Field collection
-33.505,136.3978,Field collection
-33.7523,136.178,Field collection
-33.3491,136.1172,Field collection
-33.9225,136.151,Field collection
-38.1947,145.282302,Field collection
-34.4391,146.7471059,Field collection
-34.7936,146.0736111,Field collection
-34.5697,137.8416667,Field collection
,,Field collection
-31.1778,150.4230556,Field collection
-19.9963,148.140488,Field collection
-19.979,148.19512,Field collection
-20.0039,148.210565,Field collection
-20.0313,148.141717,Field collection
-20.0096,148.184928,Field collection
-19.7189,147.517355,Field collection
-34.16,137.81,Field collection
-34.2483,137.68,Field collection
-33.2055,138.5236,Field collection
-33.1506,138.614722,Field collection
-33.221,138.729,Field collection
-35.948425,140.136429,Field collection
-34.948425,141.136429,Field collection
-33.948425,142.136429,Field collection
-32.948425,143.136429,Field collection
-30.69944444,150.0763889,Field collection
-27.44305,153.027856,Field collection
-33.3835524,121.978273,Field collection
-33.3835524,121.978273,Field collection
-33.3835524,121.978273,Field collection
-33.3835524,121.978273,Field collection
-33.661,148.5627,Field collection
-34.0705,148.352,Field collection
-33.80465,148.7025,Field collection
-34.37063,148.17497,Field collection
-31.09003,150.58354,Field collection
-34.2131,147.1659,Field collection
-34.3145,147.1629,Field collection
-34.158664,135.840915,Field collection
-34.28305,135.548253,Field collection
-34.364337,135.380348,Field collection
-34.223801,135.634177,Field collection
-34.4843,148.0543,Field collection
-34.6436,148.1571,Field collection
-34.5454,148.13,Field collection
-34.4066,147.527,Field collection
-34.782,148.122,Field collection
-34.7338,148.0827,Field collection
-35.65,146.57,Field collection
-34.11706,138.4405,Field collection
-33.79956,138.6981,Field collection
-34.09463,138.6978,Field collection
-34.14413,138.6304,Field collection
-34.10561,138.7728,Field collection
-34.61172,137.8315,Field collection
-34.31059,138.4884,Field collection
-34.38085,137.7273,Field collection
-34.0775,139.0254,Field collection
-34.03791,138.4749,Field collection
-35.52615,146.0196,Field collection
-35.51163,146.1492,Field collection
-35.75888,146.7397,Field collection
-35.90836,146.8587,Field collection
