Location,lon,lat,notes
Gordonvale QLD,145.7841829,-17.0935921,approx location from geocoder
Brandon QLD,147.3539857,-19.5545835,approx location from geocoder
Mackay QLD,149.1865149,-21.141956,approx location from geocoder
Bundaberg QLD,152.3516785,-24.8653253,approx location from geocoder
Rydalmere NSW,151.0411702,-33.8117088,approx location from geocoder
Canberra ACT,149.1012676,-35.2975906,approx location from geocoder
Burnley VIC,145.0175294,-37.8296132,approx location from geocoder
New Town TAS,147.3058753,-42.8588009,approx location from geocoder
Grove TAS,146.6366887,-42.035067,approx location from geocoder
Merbein VIC,142.0581482,-34.167621,approx location from geocoder
Adelaide Hills SA,138.8100131,-35.0290412,approx location from geocoder
Adelaide Waite Campus,138.635871,-34.967615,approx location from geocoder
