var,desc
bio01,Annual Mean Temperature
bio02,Mean Diurnal Range (Mean of monthly (max temp - min temp))
bio03,Isothermality (BIO2/BIO7) (×100)
bio04,Temperature Seasonality (standard deviation ×100)
bio05,Max Temperature of Warmest Month
bio06,Min Temperature of Coldest Month
bio07,Temperature Annual Range (BIO5-BIO6)
bio08,Mean Temperature of Wettest Quarter
bio09,Mean Temperature of Driest Quarter
bio10,Mean Temperature of Warmest Quarter
bio11,Mean Temperature of Coldest Quarter
bio12,Annual Precipitation
bio13,Precipitation of Wettest Month
bio14,Precipitation of Driest Month
bio15,Precipitation Seasonality (Coefficient of Variation)
bio16,Precipitation of Wettest Quarter
bio17,Precipitation of Driest Quarter
bio18,Precipitation of Warmest Quarter
bio19,Precipitation of Coldest Quarter
